date,cases,deaths,stringencyIndex,icu,week,cases_7d_avg,deaths_7d_avg,icu_7d_avg
2020-10-06,399.0,3.0,,87.0,2020-10-05,345.42857142857144,4.571428571428571,83.28571428571429
2020-10-07,406.0,4.0,,88.0,2020-10-05,353.14285714285717,4.714285714285714,84.71428571428571
2020-10-08,434.0,6.0,,91.0,2020-10-05,356.42857142857144,5.285714285714286,85.0
2020-10-09,391.0,1.0,,98.0,2020-10-05,346.57142857142856,4.714285714285714,86.85714285714286
2020-10-10,306.0,5.0,,100.0,2020-10-05,352.14285714285717,4.428571428571429,89.85714285714286
2020-10-11,280.0,13.0,,93.0,2020-10-05,359.42857142857144,5.714285714285714,91.42857142857143
2020-10-12,294.0,7.0,,91.0,2020-10-12,358.57142857142856,5.571428571428571,92.57142857142857
2020-10-13,408.0,6.0,,89.0,2020-10-12,359.85714285714283,6.0,92.85714285714286
2020-10-14,435.0,7.0,,86.0,2020-10-12,364.0,6.428571428571429,92.57142857142857
2020-10-15,452.0,13.0,,82.0,2020-10-12,366.57142857142856,7.428571428571429,91.28571428571429
2020-10-16,503.0,8.0,,81.0,2020-10-12,382.57142857142856,8.428571428571429,88.85714285714286
2020-10-17,482.0,10.0,,83.0,2020-10-12,407.7142857142857,9.142857142857142,86.42857142857143
2020-10-18,438.0,9.0,,84.0,2020-10-12,430.2857142857143,8.571428571428571,85.14285714285714
2020-10-19,432.0,11.0,,85.0,2020-10-19,450.0,9.142857142857142,84.28571428571429
2020-10-20,667.0,8.0,,87.0,2020-10-19,487.0,9.428571428571429,84.0
2020-10-21,865.0,6.0,,86.0,2020-10-19,548.4285714285714,9.285714285714286,84.0
2020-10-22,882.0,15.0,,90.0,2020-10-19,609.8571428571429,9.571428571428571,85.14285714285714
2020-10-23,841.0,10.0,,89.0,2020-10-19,658.1428571428571,9.857142857142858,86.28571428571429
2020-10-24,935.0,5.0,,91.0,2020-10-19,722.8571428571429,9.142857142857142,87.42857142857143
2020-10-25,790.0,10.0,,84.0,2020-10-19,773.1428571428571,9.285714285714286,87.42857142857143
2020-10-26,714.0,7.0,,95.0,2020-10-26,813.4285714285714,8.714285714285714,88.85714285714286
2020-10-27,1256.0,12.0,,102.0,2020-10-26,897.5714285714286,9.285714285714286,91.0
2020-10-28,1547.0,10.0,,108.0,2020-10-26,995.0,9.857142857142858,94.14285714285714
2020-10-29,1211.0,12.0,,114.0,2020-10-26,1042.0,9.428571428571429,97.57142857142857
2020-10-30,1686.0,5.0,,128.0,2020-10-26,1162.7142857142858,8.714285714285714,103.14285714285714
2020-10-31,2055.0,6.0,,135.0,2020-10-26,1322.7142857142858,8.857142857142858,109.42857142857143
2020-11-01,1678.0,9.0,,140.0,2020-10-26,1449.5714285714287,8.714285714285714,117.42857142857143
2020-11-02,1151.0,7.0,,153.0,2020-11-02,1512.0,8.714285714285714,125.71428571428571
2020-11-03,2166.0,13.0,,169.0,2020-11-02,1642.0,8.857142857142858,135.28571428571428
2020-11-04,2646.0,18.0,,179.0,2020-11-02,1799.0,10.0,145.42857142857142
2020-11-05,2915.0,29.0,,187.0,2020-11-02,2042.4285714285713,12.428571428571429,155.85714285714286
2020-11-06,2447.0,13.0,,196.0,2020-11-02,2151.1428571428573,13.571428571428571,165.57142857142858
2020-11-07,2555.0,34.0,,207.0,2020-11-02,2222.5714285714284,17.571428571428573,175.85714285714286
2020-11-08,1889.0,35.0,,228.0,2020-11-02,2252.714285714286,21.285714285714285,188.42857142857142
2020-11-09,1489.0,41.0,,239.0,2020-11-09,2301.0,26.142857142857142,200.71428571428572
2020-11-10,2383.0,41.0,,263.0,2020-11-09,2332.0,30.142857142857142,214.14285714285714
2020-11-11,2751.0,43.0,,297.0,2020-11-09,2347.0,33.714285714285715,231.0
