"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Παππάς","42",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","43",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","44",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","45",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","46",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","47",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","48",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","49",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","50",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","51",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","52",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","53",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","54",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","55",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","56",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","57",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","58",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","59",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","60",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","61",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","62",108,0.99702043672688,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","63",108,0.99702043672688,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","64",108,0.99702043672688,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","65+",108,0.99702043672688,"age",NA,NA,NA,109,"€6,045",NA
