"","party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"191","Ανδρουλάκης","Acharne, Greece",1,0.0067469626219931,"location","CITY",FALSE,NA,NA,30,"€3,615"
"192","Ανδρουλάκης","Kavála, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"193","Ανδρουλάκης","Kalambáki, Kavala, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"194","Ανδρουλάκης","Prosotsáni, Drama, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"195","Ανδρουλάκης","Potamoi, Drama, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"196","Ανδρουλάκης","Nigrita, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"197","Ανδρουλάκης","Langadas, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"198","Ανδρουλάκης","Évosmo, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"199","Ανδρουλάκης","Libanovo, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"200","Ανδρουλάκης","Iráklia, Kikladhes, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"201","Ανδρουλάκης","Sérres, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"202","Ανδρουλάκης","Kilkís, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"203","Ανδρουλάκης","Loutrópolis Thermís, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"204","Ανδρουλάκης","Irakleia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"205","Ανδρουλάκης","Polýkastro, Kilkis, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"206","Ανδρουλάκης","Kalamariá, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"207","Ανδρουλάκης","Aridaia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"208","Ανδρουλάκης","Édessa, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"209","Ανδρουλάκης","13",0,0,"age",NA,NA,NA,NA,30,"€3,615"
"210","Ανδρουλάκης","14",0,0,"age",NA,NA,NA,NA,30,"€3,615"
"211","Ανδρουλάκης","15",0,0,"age",NA,NA,NA,NA,30,"€3,615"
"212","Ανδρουλάκης","16",0,0,"age",NA,NA,NA,NA,30,"€3,615"
"213","Ανδρουλάκης","17",0,0,"age",NA,NA,NA,NA,30,"€3,615"
"214","Ανδρουλάκης","18",28,0.95095934671476,"age",NA,NA,NA,NA,30,"€3,615"
"215","Ανδρουλάκης","19",28,0.95095934671476,"age",NA,NA,NA,NA,30,"€3,615"
"216","Ανδρουλάκης","20",28,0.95095934671476,"age",NA,NA,NA,NA,30,"€3,615"
"217","Ανδρουλάκης","21",28,0.95095934671476,"age",NA,NA,NA,NA,30,"€3,615"
