track_name,artist_names,total_streams_2024,weeks_in_top200_2024
Babilon,"DIFF, Strat, Sanko",617739,3
Aftoktonia,"TOQUEL, RACK, ObieDaz",615674,8
EMPODIO,"Kidd, Onad",614872,4
GEITONIA III,"MG, SNIK, Phen",612256,6
Carte Postale,Marina Spanou,611710,6
Hennessy & Love,"Ellize, Saske",610681,5
Bye Bye Bye,*NSYNC,609931,6
SHIESTY MASK,"Saske, Light, Kest",606817,4
GIA SENA,"Kidd, Bexli, Destiny",598978,5
Muerte,"Sadam, VLOSPA, Dof Twogee",597531,4
Teresa & Maria,"alyona alyona, Jerry Heil",597177,3
MAYBACH,Strat,592223,8
Jingle Bell Rock,Bobby Helms,588275,4
NAPOLI,"RACK, Sin Laurent",584860,7
Pes Mou Esy,"Immune, RACK, Beyond",577523,2
Skoteine Mou Erota,Thodoris Ferris,573387,7
GIORTES,"RACK, BeTaf Beats, Beyond, Oge",569426,7
Afise Me Na Figw,"Novel 729, Logos Timis, Eleuthero Pneuma, Koraki, Sumo Beats",564627,5
Move (feat. Camila Cabello & Malachiii),"Adam Port, Stryv, Camila Cabello, Keinemusik, Malachiii, Orso",563180,6
Akropoli,Anastasia,559157,7
KSANA,"Kidd, Kimi",554233,5
Oh Shit,"Ggreco, Kess",553713,5
Balkan Mafia,"Light, Alitiz",552749,3
SANTORINI,"Kidd, Echo",552117,4
Intro,"Sadam, Dof Twogee",548709,4
DEPON,"Logos Timis, Eleuthero Pneuma, Koraki, Sativa, Tokesick, Lobo",548305,4
MONEYDANCE,"BandoleRo, Arab, Croco",541404,6
Larry Hoover,"FLY LO, Mike G",533265,7
Ballin,"Light, K Koke",530930,3
