origin,nights,year,month
NAT,1291294.0,2001,09
FOR,8592366.0,2001,08
NAT,2636370.0,2001,08
FOR,8044999.0,2001,07
NAT,2002331.0,2001,07
FOR,6632471.0,2001,06
NAT,1222657.0,2001,06
FOR,5019753.0,2001,05
NAT,910739.0,2001,05
FOR,1802073.0,2001,04
NAT,1037774.0,2001,04
FOR,580816.0,2001,03
NAT,907663.0,2001,03
FOR,316889.0,2001,02
NAT,773360.0,2001,02
FOR,252920.0,2001,01
NAT,714217.0,2001,01
FOR,401871.0,2000,12
NAT,818230.0,2000,12
FOR,490047.0,2000,11
NAT,795971.0,2000,11
FOR,4352669.0,2000,10
NAT,919137.0,2000,10
FOR,7578365.0,2000,09
NAT,1373899.0,2000,09
FOR,9436099.0,2000,08
NAT,2928569.0,2000,08
FOR,8813810.0,2000,07
NAT,2312178.0,2000,07
FOR,7209207.0,2000,06
NAT,1299193.0,2000,06
FOR,5595662.0,2000,05
NAT,1023488.0,2000,05
FOR,1991871.0,2000,04
NAT,1134198.0,2000,04
FOR,542996.0,2000,03
NAT,939581.0,2000,03
FOR,337822.0,2000,02
NAT,806500.0,2000,02
FOR,273199.0,2000,01
NAT,811331.0,2000,01
FOR,303168.0,1999,12
NAT,822693.0,1999,12
FOR,463069.0,1999,11
NAT,797965.0,1999,11
FOR,4209678.0,1999,10
NAT,953650.0,1999,10
FOR,7506602.0,1999,09
NAT,1288874.0,1999,09
FOR,9246709.0,1999,08
NAT,2840922.0,1999,08
FOR,8405839.0,1999,07
NAT,2401953.0,1999,07
FOR,7247930.0,1999,06
NAT,1114248.0,1999,06
FOR,5481436.0,1999,05
NAT,1135246.0,1999,05
FOR,1891597.0,1999,04
NAT,1046427.0,1999,04
FOR,567268.0,1999,03
NAT,881885.0,1999,03
FOR,322534.0,1999,02
NAT,715567.0,1999,02
FOR,306540.0,1999,01
NAT,786622.0,1999,01
FOR,274521.0,1998,12
NAT,760230.0,1998,12
FOR,451930.0,1998,11
NAT,773403.0,1998,11
FOR,3777839.0,1998,10
NAT,818806.0,1998,10
FOR,6940974.0,1998,09
NAT,1365351.0,1998,09
FOR,9286080.0,1998,08
NAT,2895283.0,1998,08
FOR,7439544.0,1998,07
NAT,2144312.0,1998,07
FOR,6672483.0,1998,06
NAT,1191847.0,1998,06
FOR,5225913.0,1998,05
NAT,1064220.0,1998,05
FOR,1871479.0,1998,04
NAT,1161869.0,1998,04
FOR,508294.0,1998,03
NAT,764867.0,1998,03
FOR,284424.0,1998,02
NAT,721900.0,1998,02
FOR,255423.0,1998,01
NAT,760492.0,1998,01
FOR,281753.0,1997,12
FOR,407981.0,1997,11
NAT,786818.0,1997,11
FOR,3570868.0,1997,10
